id,date,direction,departure,arrivale,cost,comfort,mode_id
178.0,2016-01-14 00:00:00,Work-bound,8:32,9:25,2.25,3.0,6.0
179.0,2016-01-15 00:00:00,Work-bound,8:30,8:54,5.6,3.0,9.0
180.0,2016-01-15 00:00:00,Work-bound,5:03,5:31,7.0,4.0,5.0
181.0,2016-01-18 00:00:00,Work-bound,11:22,11:37,8.47,5.0,11.0
182.0,2016-01-20 00:00:00,Work-bound,8:03,8:32,4.0,2.0,7.0
183.0,2016-01-20 00:00:00,Home-bound,5:58,6:20,14.21,4.0,4.0
184.0,2016-01-27 00:00:00,Work-bound,8:23,8:54,4.0,3.0,7.0
185.0,2016-01-28 00:00:00,Work-bound,8:21,8:39,18.0,4.0,4.0
186.0,2016-01-29 00:00:00,Work-bound,8:27,9:08,2.25,3.0,6.0
187.0,2016-02-01 00:00:00,Work-bound,8:52,9:27,5.18,3.0,9.0
188.0,2016-02-08 00:00:00,Work-bound,8:43,9:01,6.39,3.0,5.0
189.0,2016-02-10 00:00:00,Home-bound,4:07,4:32,4.0,4.0,7.0
190.0,2016-02-11 00:00:00,Work-bound,9:00,9:39,2.25,3.0,6.0
191.0,2016-02-16 00:00:00,Work-bound,8:36,8:58,7.0,5.0,5.0
192.0,2016-02-17 00:00:00,Work-bound,8:28,9:04,2.25,4.0,6.0
193.0,2016-02-17 00:00:00,Home-bound,7:12,7:31,16.04,4.0,11.0
194.0,2016-02-18 00:00:00,Work-bound,8:19,9:20,0.0,1.0,7.0
195.0,2016-02-19 00:00:00,Work-bound,8:27,9:01,2.25,2.0,6.0
